nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes
NCT03992430,A Study to Compare Safety and Efficacy of High Doses of Eteplirsen in Participants With Duchenne Muscular Dystrophy (DMD) (MIS51ON),"Sarepta Therapeutics, Inc.",INDUSTRY,"Sarepta Therapeutics, Inc.",SRPT,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,"Muscular Dystrophy, Duchenne",Eteplirsen,Part 1: Incidence of Adverse Events (AEs),https://clinicaltrials.gov/study/NCT03992430,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to Week 148
NCT04742764,"Extracorporal Cytokin Removal in Septic Shock: a Prospective, Randomized, Multicenter Clinical Trial",University of Pecs,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Suspended,2026-10-31,ESTIMATED,Septic Shock,,Shock reversal,https://clinicaltrials.gov/study/NCT04742764,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: At the time of shock reversal assessed up to 5 days
NCT04842617,"Phase III Study ：SHR6390/Placebo Combined With Endocrine Therapy for the Adjuvant Treatment of Hormone Receptor Positive,Human Epidermal Receptor 2 Negative","Jiangsu HengRui Medicine Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,"Hormone Receptor Positive,Human Epidermal Receptor 2 Negative, Node-positive, High Risk, Early Stage，Female Breast Cancer",SHR6390; placebo,IDFS（Invasive Disease-Free Survival）,https://clinicaltrials.gov/study/NCT04842617,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: at least 5 years from the date of randomization .
NCT05608200,Lenvatinib+Sintilimab+TACE vs. Lenvatinib+TACE for Advanced HCC,Second Affiliated Hospital of Guangzhou Medical University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-10-31,ESTIMATED,Hepatocellular Carcinoma Non-resectable,"Lenvatinib, sintilimab plus TACE; Lenvatinib plus TACE",Overall survival (OS),https://clinicaltrials.gov/study/NCT05608200,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 4 years
NCT05608213,Lenvatinib Plus I-125 Seed Brachytherapy vs. Lenvatinib for TACE-refractory HCC,Second Affiliated Hospital of Guangzhou Medical University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-10-31,ESTIMATED,Hepatocellular Carcinoma Non-resectable,Lenvatinib,Overall survival (OS),https://clinicaltrials.gov/study/NCT05608213,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 4 years
NCT06016738,OP-1250 (Palazestrant) vs. Standard of Care for the Treatment of ER+/HER2- Advanced Breast Cancer,"Olema Pharmaceuticals, Inc.",INDUSTRY,"Olema Pharmaceuticals, Inc.",OLMA,,US-LISTED,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,Breast Cancer,Palazestrant; Fulvestrant; Anastrozole; Letrozole,Dose-Selection Part: Incidence of adverse events,https://clinicaltrials.gov/study/NCT06016738,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: From Date of Randomization up to 16 weeks
NCT06136585,"Sugammadex Vs Neostigmine in Reversing Neuromuscular Blocks in Outpatient ERCP. A Randomized, Double-Blinded Trial",The Cleveland Clinic,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-10-31,ESTIMATED,Neuromuscular Blocks,2 mg/kg sugammadex; 0.07 mg/kg neostigmine,Time required from reversal of neuromuscular block to discharge readiness,https://clinicaltrials.gov/study/NCT06136585,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: First 24 hours after reversal of neuromuscular block
NCT06200168,Electroacupuncture for the Prevention of Chemotherapy-induced Nausea and Vomiting in Patients With Breast Cancer,Jiuda Zhao,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-10-31,ESTIMATED,Electroacupuncture,Standard antiemetic treatment; Standard antiemetic treatment,Proportion of patients with no nausea during the overall stage,https://clinicaltrials.gov/study/NCT06200168,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 120 hours
NCT06510816,A Study Investigating the Efficacy and Safety of Intravitreal (IVT) Injections of Vonaprument (Formerly ANX007) in Participants With Dry Age-Related Macular Degeneration (AMD) With Geographic Atrophy (GA),"Annexon, Inc.",INDUSTRY,"Annexon, Inc.",ANNX,,US-LISTED,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,Geographic Atrophy,Vonaprument,Proportion of Participants Experiencing a Best Corrected Visual Acuity (BCVA) ≥15-letter Loss from Baseline Through Month 15 as Assessed by the Early Treatment Diabetic Retinopathy Study (ETDRS) Chart at Any Two Consecutive Visits,https://clinicaltrials.gov/study/NCT06510816,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline through Month 15
NCT06635447,Capivasertib+Fulvestrant asTreatment for Locally Advanced(Inoperable) or Metastatic HR+/HER2- Breast Cancer in Chinese Patients,AstraZeneca,INDUSTRY,AstraZeneca,AZN,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,Breast Cancer,Capivasertib; Fulvestrant,Time to first subsequent treatment (TFST) of PIK3CA/AKT1/PTEN-altered population in Cohort 1,https://clinicaltrials.gov/study/NCT06635447,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,"lead sponsor class: INDUSTRY | primary endpoint time frame: From the first dose of study intervention to the earlier of start date of the first subsequent therapy after discontinuation of study intervention, or death in PIK3CA/AKT1/PTEN-altered population in Cohort 1, up to approximately 2 years"
NCT07124195,Nanocrystalline Megestrol for Managing Chemotherapy-Induced Nausea and Vomiting,The First Affiliated Hospital of Xinxiang Medical College,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-10-31,ESTIMATED,Malignant Solid Tumors,Medroxyprogesterone acetate oral suspension,the efficacy of medroxyprogesterone acetate oral suspension (Meishiya®) in the whole-process management of preventing nausea and vomiting induced by single-day moderate to high emetogenic chemotherapy (MEC/HEC) drugs.,https://clinicaltrials.gov/study/NCT07124195,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 42 days
NCT07211633,"A Study to Evaluate the Pharmacokinetics, Pharmacodynamics, Safety, Radiological and Clinical Effects of Subcutaneous Ublituximab in Participants With Relapsing Multiple Sclerosis (RMS)","TG Therapeutics, Inc.",INDUSTRY,"TG Therapeutics, Inc.",TGTX,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2026-10-31,ESTIMATED,Relapsing Multiple Sclerosis,,Area Under the Curve From Week 0 to Week 24 (AUC0-W24) of Ublituximab,https://clinicaltrials.gov/study/NCT07211633,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to Week 24
NCT07246187,Comparing Haloperidol to Olanzapine in the Treatment of Suspected Cannabinoid Hyperemesis in the Emergency Department,Mercy Bon Secours Saint Vincent Medical Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-10-31,ESTIMATED,Cannabinoid Hyperemesis Syndrome,Olanzapine 10 milligram; Haloperidol,Nausea VAS scale,https://clinicaltrials.gov/study/NCT07246187,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Change from Baseline nausea before medication administration to 60-120 minutes after medication administration
NCT03976063,Tocolysis in the Management of Preterm Premature Rupture of Membranes Before 34 Weeks of Gestation,Assistance Publique - Hôpitaux de Paris,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Preterm Premature Rupture of Membrane,Nifedipine; Placebo of Nifedipine,Perinatal morti-morbidity,https://clinicaltrials.gov/study/NCT03976063,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: Up to discharge from hospital, with a maximum of 24 weeks after birth."
NCT04221035,High-Risk Neuroblastoma Study 2 of SIOP-Europa-Neuroblastoma (SIOPEN),"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11,ESTIMATED,High-Risk Neuroblastoma,Vincristine; Carboplatin; Etoposide; Vindesine,Event free survival (EFS),https://clinicaltrials.gov/study/NCT04221035,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Assessed at each end of randomization sequences up to one year
NCT04706013,Oral Pyridoxal 5'-Phosphate for the Treatment of Patients With PNPO Deficiency,Medicure,INDUSTRY,Medicure,MCUJF,,US-LISTED,Phase 3,Recruiting,2026-11,ESTIMATED,Pyridox(am)Ine 5'-Phosphate Oxidase Deficiency,Pyridoxal Phosphate,"Overall survival time (time to death), including incidence of death at 12 months",https://clinicaltrials.gov/study/NCT04706013,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: 12 months
NCT05050942,A Trial to Assess Efficacy and Safety of Octreotide Subcutaneous Depot in Patients With GEP-NET,Camurus AB,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Gastro-enteropancreatic Neuroendocrine Tumor,CAM2029; Octreotide LAR; Lanreotide ATG,Progression-free survival (PFS) as assessed by a Blinded Independent Review Committee (BIRC),https://clinicaltrials.gov/study/NCT05050942,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: From date of randomization until disease progression or death due to any cause, whichever comes first, assessed up to 48 months"
NCT05134441,"Study to Evaluate the Efficacy, Safety, and Tolerability of IMU-838 in Patients With Relapsing Multiple Sclerosis",Immunic AG,INDUSTRY,Immunic AG,IMUX,,US-LISTED,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Multiple Sclerosis,IMU-838 tablets; Placebo matching IMU-838 tablets,To evaluate efficacy of IMU-838 versus placebo regarding time to first relapse,https://clinicaltrials.gov/study/NCT05134441,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: 72 weeks
NCT05202509,Cardiovascular Outcome Study to Evaluate the Effect of Obicetrapib in Patients With Cardiovascular Disease,NewAmsterdam Pharma,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Atherosclerotic Cardiovascular Disease,Obicetrapib; Placebo,Major Adverse Cardiovascular Effect (MACE),https://clinicaltrials.gov/study/NCT05202509,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 30 months after last participant randomized
NCT05428488,Efficacy of a Sequential Treatment Strategy in Rheumatoid Arthritis,"University Hospital, Montpellier",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11,ESTIMATED,Rheumatoid Arthritis,Abatacept (W12-W48); TNF Inhibitor (W12-W48); TNF Inhibitor (W0-W12),Percentage of patients in remission,https://clinicaltrials.gov/study/NCT05428488,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 36 weeks following randomization
NCT05431179,A Study of Zilovertamab and Ibrutinib in Patients With Relapsed or Refractory Mantle Cell Lymphoma,"Oncternal Therapeutics, Inc",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Withdrawn,2026-11,ESTIMATED,"Lymphoma, Mantle-Cell",Zilovertamab; Ibrutinib; Placebo,Progression-free survival (PFS),https://clinicaltrials.gov/study/NCT05431179,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Approximately 2 years
NCT05532813,Evaluation of the Efficacy and Safety of Metformin in the Myotonic Dystrophy Type 1 (Steinert's Disease),Assistance Publique - Hôpitaux de Paris,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11,ESTIMATED,Steinert's Disease,Treatment taken,Change of muscle function,https://clinicaltrials.gov/study/NCT05532813,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: at baseline and 12 months
NCT06111235,A Study of Adjuvant Cretostimogene Grenadenorepvec for Treatment of Intermediate Risk NMIBC Following TURBT,"CG Oncology, Inc.",INDUSTRY,"CG Oncology, Inc.",CGON,,US-LISTED,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Non Muscle Invasive Bladder Cancer,Cretostimogene Grenadenorepvec,Recurrence Free Survival (RFS),https://clinicaltrials.gov/study/NCT06111235,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: 29 months
NCT06115629,Surveillance After Resection of Oesophageal aNd Gastric Cancer (SARONG-II) Trial,"University of Dublin, Trinity College",OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-11,ESTIMATED,Esophageal Cancer,,All-cause mortality,https://clinicaltrials.gov/study/NCT06115629,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 36 months post randomisation
NCT06448312,A Study of SKB264 in Combination With Pembrolizumab Versus Pembrolizumab in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",INDUSTRY,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",SKBBY,,US-LISTED,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Non-Small Cell Lung Cancer,SKB264; Pembrolizumab,Progression Free Survival (PFS) assessed by Blinded Independent Central Review (BICR),https://clinicaltrials.gov/study/NCT06448312,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: Randomization up to approximately 22months
NCT06662383,A Study of Retatrutide (LY3437943) Compared to Tirzepatide (LY3298176) in Adults Who Have Obesity,Eli Lilly and Company,INDUSTRY,Eli Lilly and Company,LLY,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Obesity,Retatrutide; Tirzepatide,Percent Change from Baseline in Body Weight,https://clinicaltrials.gov/study/NCT06662383,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, Week 80"
NCT06704620,Study of Tislelizumab and Platinum-based Chemotherapy Combination With H1 Receptor Antagonist（Diphenhydramine）in Advanced and Metastatic Non-Small Cell Lung Cancer,Tianjin Medical University Cancer Institute and Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Not Yet Recruiting,2026-11,ESTIMATED,Advanced and Metastatic NSCLC,Diphenhydramine; Tislelizumab; Pemetrexed; Albumin paclitaxel,PFS,https://clinicaltrials.gov/study/NCT06704620,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: up to 24 months
NCT06847724,"Comparative PK, PD, Efficacy, and Safety Assessment of the Proposed Ocrelizumab Biosimilar CYB704 and Ocrevus in Participants With Relapsing Multiple Sclerosis",Sandoz,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Relapsing Multiple Sclerosis,,Area under the concentration time curve,https://clinicaltrials.gov/study/NCT06847724,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Week 1 - 3, week 3 - 25"
NCT06884254,Efficacy and Safety Study of EG1206A (EirGenix' Pertuzumab) Compared With EU-sourced Perjeta® (Pertuzumab) in Patients With HER2-positive Hormone Receptor Negative Early Breast Cancer.,"EirGenix, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Withdrawn,2026-11,ESTIMATED,Early Breast Cancer,EG1206A; Perjeta,Determination of pathologic complete response (pCR) at time of surgery,https://clinicaltrials.gov/study/NCT06884254,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: At the time of surgery (3-6 weeks after completion of neoadjuvant chemotherapy)
NCT07003919,Safety Study of Viaskin® Peanut Patch in Peanut-Allergic Children 1 Through 3 Years of Age (COMFORT Toddlers),DBV Technologies,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Allergy,,"DBPC Treatment Period: Adverse Events (AEs), Treatment-Emergent Adverse Events (TEAEs), and Serious Adverse Events (SAEs)",https://clinicaltrials.gov/study/NCT07003919,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Through DBPC Treatment Period, 6 months"
NCT07029516,"Study to Assess Efficacy, Safety and Tolerability of a Nail Patch in Patients With Nail Fragility, Mychosis, Psoriasis","Wooshin Labottach Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2026-11,ESTIMATED,Nail Psoriasis,,"Evaluation, based on adverse events numeber of the Multi-Function Hydrogel Nail Patch safety in adult humans affected by Fragility Nails, Onychomycosis and Nail Psoriasis",https://clinicaltrials.gov/study/NCT07029516,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: From the enrollment day (visit 1) to the follow-up visit after 4 months
NCT07332273,Levothyroxine as Adjuvant to a Hypocaloric Diet for the Treatment of Obesity.,Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11,ESTIMATED,Obesity,Levothyroxine; Placebo,Change in body weight (kg) from baseline to Month 3,https://clinicaltrials.gov/study/NCT07332273,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Baseline to Month 3 (12 weeks ±2)
NCT07505888,Phase Ⅲ Trial of Group ACYW135 Meningococcal Conjugate Vaccine in Children Aged 2-6 Years,"Sinovac Biotech Co., Ltd",INDUSTRY,"Sinovac Biotech Co., Ltd",SVA,,US-LISTED,Phase 3,Active Not Recruiting,2026-11,ESTIMATED,Epidemic Meningitis,,"Seroconversion rates (%) of Nm antibodies for serogroups A, C, Y, W135",https://clinicaltrials.gov/study/NCT07505888,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,exact match (legal suffixes removed) against SEC company_tickers.json,lead sponsor class: INDUSTRY | primary endpoint time frame: Day 30 after vaccination
NCT04447352,HIPEC + FLOT vs. FLOT Alone in Patients With Gastric Cancer and GEJ (PREVENT),Krankenhaus Nordwest,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Gastric Cancer,5-Fluorouracil; Leucovorin; Oxaliplatin; Docetaxel,Comparison of progression-/disease-free survival (PFS/DFS) between arms,https://clinicaltrials.gov/study/NCT04447352,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: from randomization up to 5 years
NCT05057468,Second-line Treatment of Primary Autoimmune Hemolytic Anemia,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Primary Autoimmune Hemolytic Anemia,Cyclosporine; Rituximab,the proportion of complete response,https://clinicaltrials.gov/study/NCT05057468,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 3months
NCT05626855,Long-Term Safety & Efficacy of Apitegromab in Patients With SMA Who Completed Previous Trials of Apitegromab,"Scholar Rock, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11-01,ESTIMATED,Spinal Muscular Atrophy,Apitegromab,Evaluate the long-term safety and tolerability of apitegromab in patients with Type 2 and Type 3 SMA,https://clinicaltrials.gov/study/NCT05626855,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to 6 years
NCT05774678,Trial Of PreoperAtive Radiation (TOPAz): A Randomized Trial Comparing Hypofractionated Versus Conventionally Fractionated Preoperative Radiation Followed by Mastectomy With Immediate Autologous Breast Reconstruction With Integrated Nanomechanical Biomarker Evaluation,M.D. Anderson Cancer Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Breast Cancer,,"Incidence of Adverse Events, Graded According to National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) Version (v) 5.0",https://clinicaltrials.gov/study/NCT05774678,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: through study completion; an average of 1 year.
NCT06200181,"Effect of Olanzapine on Opioid Craving and Misuse Among Patients Receiving Opioids for Cancer-related Pain: A Pilot Double-Blind, Randomized Control Trial",M.D. Anderson Cancer Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Active Not Recruiting,2026-11-01,ESTIMATED,"Misuse, Opioid",Olanzapine; Olanzapine; Placebo,Safety and adverse events (AEs,https://clinicaltrials.gov/study/NCT06200181,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Through study completion; an average of 1 year
NCT06624592,Sevoflurane/Dexmedetomidine vs. Isoflurane for Pediatric Emergence Delirium,Mayo Clinic,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Delirium on Emergence,Sevoflurane; Isoflurane,Number of subjects with emergence delirium,https://clinicaltrials.gov/study/NCT06624592,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Within 1 hour after dropped off by anesthesiology team
NCT06631287,Randomized Double-Blind Placebo-Controlled Trial EValuating Baricitinib on PERSistent NEurologic and Cardiopulmonary Symptoms of Long COVID,Wes Ely,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Long COVID,Baricitinib,CNS-Vital Signs Global Cognitive Index,https://clinicaltrials.gov/study/NCT06631287,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Month 6
NCT06951698,A Study to Evaluate the Efficacy and Safety of KarXT for the Treatment of Manic Episodes in Bipolar-I Disorder,Bristol-Myers Squibb,INDUSTRY,Bristol-Myers Squibb,BMY,NYSE,US-LISTED,Phase 3,Recruiting,2026-11-01,ESTIMATED,Bipolar-I Disorder With Mania or Mania With Mixed Features,KarXT,Change from baseline in Young Mania Rating Scale (YMRS) score,https://clinicaltrials.gov/study/NCT06951698,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: At week 3
NCT07661758,Intravenous Lidocaine to Prevent Post-Fundal Pressure Headache During Cesarean Section,Tanta University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-11-01,ESTIMATED,Intravenous Lidocaine,Lidocaine IV,Incidence of intraoperative headache,https://clinicaltrials.gov/study/NCT07661758,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: Up to the end of surgery.
NCT05677451,"24 Weeks Double-blind Randomized Placebo-controlled Trial to Evaluate Efficacy, PK, Safety of LOU064 in Adolescents (12 - <18) With CSU and Inadequate Response to H1-antihistamine Followed by Optional 3 Years Open-label Extension and an Optional 3 Years Safety Long-term Treatment-free Follow-up",Novartis Pharmaceuticals,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-11-03,ESTIMATED,Chronic Spontaneous Urticaria,LOU064 (blinded); placebo,Change from baseline in UAS7,https://clinicaltrials.gov/study/NCT05677451,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, week 12"
